Equipment Description,Manufacturer,Model,Problem ,Work Done
X-Rr ,Viewbox,,The device was reported as non-functional.,"Upon inspection, it was observed that the LED lights were not turning on despite the power supply being present. Further investigation revealed that the adapter cable had a discontinuity due to a loose internal connection. The loose wire was properly reconnected. After reconnection, the adapter was confirmed to be supplying the required 12 V output, however, the LEDs still did not illuminate.
The power switch was then tested and found to be faulty. As a replacement switch was not available at the time, the switch was temporarily bypassed to restore the power circuit. Additionally, multiple internal wiring discontinuities were identified inside the device. All damaged and loose internal wires were replaced and properly secured."
CTG Machine,Bionet,Twinview FC1400,"Fetal Heart Rate (FHR) was not being detected, and the printout was faint and intermittent.
","Upon inspection, the ultrasound (USG) probe was found to be properly connected to the device and in correct contact with the patient; however, no FHR signal was being detected by the machine. Further examination of the probe connector revealed that two pins inside the connector had been pushed down, resulting in poor electrical contact and signal transmission failure. The affected pins were carefully realigned to their correct position. After this correction, the FHR signal was successfully detected and displayed on the monitor.
Additionally, the printed output was observed to be very faint and inconsistent. The recording paper was checked and found to be in good condition. The thermal print head and roller were then cleaned and properly aligned. During further inspection, it was noted that the locking mechanism securing the roller and maintaining contact between the thermal head and the paper was bent, causing insufficient pressure and poor print quality. The lock was realigned and repositioned to ensure proper contact. Following this adjustment, the print quality improved significantly.

FHR detection and printing functions were restored, and the CTG machine was confirmed to be operating normally."
Fetal Doppler,JSL,JSL-T501,The device was not detecting the fetal heart signal.,"The device was thoroughly inspected. During inspection, the probe was found to be unable to detect the signal. Upon disassembly of the device, it was observed that the probe wire connecting to the main circuit board had a discontinuity. The wire was re-soldered to restore proper electrical connection. Additionally, the probe connector was found to be detached and was securely reattached."
X-Ray Viewbox,N/A,N/A,The device was reported as non-functional,"Upon inspection, it was observed that the LED lights were not turning on despite the power supply being present. Further investigation revealed that the adapter cable had a discontinuity due to a loose internal connection. The loose wire was properly reconnected. After reconnection, the adapter was confirmed to be supplying the required 12 V output, however, the LEDs still did not illuminate.
The power switch was then tested and found to be faulty. As a replacement switch was not available at the time, the switch was temporarily bypassed to restore the power circuit. Additionally, multiple internal wiring discontinuities were identified inside the device. All damaged and loose internal wires were replaced and properly secured.

"
ECG Machine,HRP,HC8,"The device was not printing ECG reports.

","The device was inspected and tested. It was observed that when the print command was given, no printout was generated. The printer settings were reviewed and found to have auto-print disabled, with the device operating in manual printing mode. The auto-print function was re-enabled through the device settings.

After reconfiguring the printer settings, the ECG machine was tested and found to be printing ECG reports correctly. 

"
Patient Monitor,Hwatime,H9,NIBP not working.,"Upon inspection, the monitor displayed an NIBP timeout error during blood pressure measurement. The NIBP cuff was checked for air leakage and found to be intact. However, a breakage was identified in the hose pipe near the cuff, causing air leakage and resulting in measurement failure.

The damaged portion of the hose pipe was cut and the remaining section was securely reconnected. After repair, the NIBP measurement was tested and found to be functioning normally, with readings displayed correctly.
"
Suction Machine,Jinsol,JS-001,," The device was thoroughly inspected and the compressor was found to be generating adequate vacuum. However, suction was not effective. Further inspection revealed that one of the collection bottles had cracks, causing loss of vacuum.

The cracked bottle was replaced with a new one. After replacement, the suction function was tested and found to be operating normally.
"
Dental Chair,Confident,Mookambika,No suction,"Upon inspection, the compressor was working but there was minimal vaccum. It was found due to obstructed suction channel which was cleaned. After, this there was adequate vaccum."
PT Machine,Human GmbH, HumaClot Junior,The device was reported as displaying consistently low Prothrombin Time (PT) values.,"Upon inspection, it was observed that the analyzer consistently displayed abnormally low PT values across multiple patient samples. To isolate the cause, several samples were tested, all yielding similarly low results, indicating the issue was likely with the analyzer rather than the samples.

The following steps were taken:
- Reagent Quality Check: Verified that the PT reagent used was within the expiry date and properly stored.
- Temperature Verification: Confirmed that the incubation chamber maintained a stable temperature of 37°C.
- Initial Cleaning: The optic channel was cleaned due to the presence of visible dirt; however, the problem persisted.

- Further Internal Inspection: The device was carefully disassembled. The internal optical channel and detector unit were found to be heavily contaminated with dust particles.
- Component Cleaning and Reset: The detector unit and optic components were thoroughly cleaned, and all relevant internal connections were inspected and reset.
Following reassembly, repeated tests were performed using both the same and multiple fresh samples. The PT results were now within acceptable and varied ranges, consistent with expected values and confirmed by laboratory technicians.

Now, The machine is fully functional."
Patient Monitor,Edan,X12,NIBP not functioning,The NIBP was taking too long to be detected and it was observed that there was a leakage through the cuff. The cuff was replaced with a new one.
Patient Monitor,Edan,X12,ECG artifacts,The ecg electrode was inspected and found to have worn off insulation in multiple places. The ECG electrode was replaced with a new one.
OT Bed,Desco India,,Arm boards did not fit in the side rails.,The side rails of the bed had been loose causing the accessories like arm boards to detach. Those side rails were properly tightened to fit the arm boards.
Nebulizer,Comp mist,CNB69009,No mist formation,"Upon inspection, it was observed that the nebulizer was unable to generate mist due to a clogged air filter. The filter was thoroughly cleaned. Further inspection revealed that the motor speed was reduced due to dirt accumulation. The motor was cleaned and properly lubricated.
After performing the above corrective actions, the nebulizer was tested and found to be functioning normally with proper mist formation.
"
OT Bed,Desco India,OT-101,"The OT bed was reported as non-functional, with no movement observed during operation","

The OT bed was thoroughly inspected. It was observed that the bed did not respond to commands from the remote control. However, the direct control panel on the bed was fully functional, as all movements were achieved when the respective buttons were pressed.
The remote control was found to have power, as indicated by the illuminated power LED, but no response was obtained upon pressing the control buttons. The remote connection was reset; however, the issue persisted.

Further inspection of the remote revealed a small internal safety/enable switch that had partially come out from its intended position. Due to this, the remote commands were not being transmitted effectively to the control system.

The internal switch was pressed back into its correct position, restoring proper electrical contact within the remote.

After correction, the OT bed movements were tested using the remote control. All functions responded normally and smoothly."
Orthopaedic Traction Unit,,,The unit was reported non-functional due to a detached crank handle on the traction assembly,"Upon initial inspection, it was confirmed that the crank handle had become completely detached from the vertical adjustment post. To address this, the internal drive rod was carefully disassembled to expose the underlying mounting hardware. The inspection revealed that the primary screw and bolt had vibrated loose; these components were subsequently realigned, re-engaged, and tightened to ensure a secure mechanical connection. Following the repair of the adjustment mechanism, a secondary safety check of the mobile base was performed. All caster wheels were found to be loose and were systematically tightened and refitted to ensure the unit’s structural stability. The equipment was then tested for smooth operation and is now fully restored for clinical use."
Holter,Contec ,TLC5000,Max HR:0,The software inspected and it was found to have selected lead II as a main lead. There were too much artifact in that signal which lead to Max HR being zero. Another lead was selected as a main lead and analysis was performed. The results were properly displayed.
OT Bed,Desco India,OT-101,"The OT bed was reported as non-functional, with no movement observed during operation.","The OT bed was thoroughly inspected. It was observed that the bed did not respond to commands from the remote control. However, the direct control panel on the bed was fully functional, as all movements were achieved when the respective buttons were pressed.
The remote control was found to have power, as indicated by the illuminated power LED, but no response was obtained upon pressing the control buttons. The remote connection was reset; however, the issue persisted.

Further inspection of the remote revealed a small internal safety/enable switch that had partially come out from its intended position. Due to this, the remote commands were not being transmitted effectively to the control system.

The internal switch was pressed back into its correct position, restoring proper electrical contact within the remote.

After correction, the OT bed movements were tested using the remote control. All functions responded normally and smoothly."
Biochemistry Analyzer,Beckman Coulter,AU480,"
- Sample Probe Error: 
- ISE Calibration Failure
- Photometric Error","
Upon detailed technical evaluation, the following issues were identified:
- Component Lifespan: The photometric lamp (over 4,000 hours) and the ISE electrodes (over 40,000 tests) had both exceeded their manufacturer-recommended service life.
- Clogging: Roller pump tubings were severely restricted, affecting fluidics and pressure.
- Mechanical Wear: The spiral-shaped mixer showed significant degradation; the Teflon coating had eroded, exposing the underlying steel. This can lead to sample carryover and contamination.
- Sample Probe: Physical wear/blockage detected, contributing to the initial error.
These components were replaced followed by calibration. 
Now the device is fully functional."
PT Machine,Human GmBH,Humaclot Junior,The device showing inaccurate and inconsistent report.,"The device was thoroughly inspected. All the calibration and necessary repairs were performed. However, the problem persisted. As the device is very old and the repair is not possible, it needs a replacement."
Dry Bath Incubator,Labline,N/A,Device displays 38°C but causes sample hemolysis,"The device was thoroughly inspected. These are rhe findings:
Temperature Deviation: Independent measurement confirmed the block exceeds 50°C, despite the display reading 38°C.
Root Cause: The temperature sensor failed, preventing the control board from triggering the heating auto-cut. The temperature sensor unit is embedded inside the sample rack and the whole assembly needs to be replaced to repair. Also, the board may also be not working as required. 
Status: The heater is functional, but the feedback loop is broken.
Recommendation: REPLACE.
The device is obsolete. The cost and difficulty of sourcing rare components for this specific model make repair economically unfeasible. Continued use risks total loss of patient samples."
Dialysis Machine,Fresenius Medical,4008A,"The machine failed the pre-treatment T1 self-test and triggered conductivity and temperature alarms. During operation, the unit intermittently entered bypass mode, preventing dialysate flow to the dialyzer due to unstable fluid parameters.
","Hydraulic Inspection: Conducted a thorough check of the hydraulic unit and identified a damaged 3-way electromagnetic solenoid valve.
Component Replacement: The faulty solenoid valve was removed and replaced with a new component to restore proper flow control for concentrates and water.
Calibration & Testing: Performed a manual calibration of the conductivity and temperature sensors to ensure they remained within the required safety ranges (35°C–39°C).
Validation: The machine successfully passed the T1 test and a full disinfection cycle. 

The device is now fully functional."
Biosafety Cabinet,Vision Scientific,,"The unit was received with a non-functional sliding sash that could not maintain a fixed position, requiring it to be braced manually. Additionally, the internal sample tray was misaligned, creating structural gaps.

","A comprehensive inspection revealed that the counterbalance suspension cable had snapped, disabling the pulley system. The broken cable was removed and replaced with a new wire, followed by precise tensioning to restore smooth, stationary sash movement. The sample tray was properly reseated and leveled to eliminate gaps and ensure a seamless work surface. Furthermore, the fluorescent lamp assembly was rerouted from its hazardous external position to a secure internal mounting, correcting hanging wires and improving operator visibility.

"
Laryngoscope,GMS,,The device was submitted for repair after being reported as non-functional.,"A thorough diagnostic inspection was conducted to identify the point of failure. The batteries were tested using a multimeter and confirmed to have sufficient voltage. The lamp (bulb) was also inspected and found to be electrically intact. Further investigation revealed that the primary issue was a loose electrical contact at the bulb seating. The connection was cleaned and properly reseated, restoring a continuous circuit. The device has been tested and is now fully functional and ready for clinical use."
Sphygmomanometer,N/A,ALPK2,The device was reported non-functional. ,"Preliminary testing confirmed that while the pneumatic system (cuff and bulb) maintained integrity, the manometer exhibited mechanical failure; the indicator needle remained stationary during inflation due to internal oxidation and physical obstruction.

The defective manometer was replaced with a functional gauge harvested from a decommissioned unit. Following that, the device underwent a zero-point calibration and a static leak test to ensure accuracy and pneumatic stability. The needle movement is now good and responsive across the full pressure range.

"
Sphygmomanometer,Microlife,,The device was reported non-functional,"Preliminary testing confirmed that while the pneumatic system (cuff and bulb) maintained integrity, the manometer exhibited mechanical failure; the indicator needle remained stationary during inflation due to internal oxidation and physical obstruction.

The defective manometer was replaced with a functional gauge harvested from a decommissioned unit. Following that, the device underwent a zero-point calibration and a static leak test to ensure accuracy and pneumatic stability. The needle movement is now good and responsive across the full pressure range.
"
Dialysis Machine,Fresenius Medical,4008A,​The unit failed the mandatory T1 (Test 1) Self-Test prior to patient treatment. ,"Upon inspection, the T1 test failed and showed error for conductivity. The test was performed multiple times but still it failed. The conductivity value was observed be stay just in between 8 and 9, which indicated that part B pumping had been off.

The repair commenced with a hydraulic inspection, where the expired bicarbonate solution (>24 hours) was replaced with a fresh batch to correct the chemical baseline. To address the instability, a manual syringe priming technique was utilized to clear air pockets and dislodge minor obstructions within the Part B intake line. Upon finding the suction pipe filter missing, the Part B solenoid valve was disassembled and cleaned to remove crystalline buildup, ensuring precise dosing. Finally, a new inline filter was installed to prevent future debris ingress. Following these interventions, the T1 self-test passed successfully, conductivity stabilized, and the machine exited bypass mode, returning to full operational status."
Patient Monitor,Edan,X12,The monitor reported intermittent EtCO2 readings.,"
Upon initial inspection, the endotracheal (ET) tube was checked and confirmed to be clear of any obstructions. The EtCO2 sensor and its interface cables were inspected for secure connectivity; however, the device continued to display low readings. It was cross-verified to be source of the problem. Further investigation revealed significant moisture accumulation within the sensor. Despite thorough cleaning and drying, the sensor continued to provide inconsistent data, suggesting internal damage to the transducer components. Consequently, the faulty EtCO2 sensor was replaced with a new unit. 

Following the replacement, the monitor accurately read and displayed stable values, passed all functional checks, and is now fully operational for clinical use."
Autoclave,Recco,RECC-003, Unusual noise and excessive vibration during the initial operation phase,"Upon inspection, the device was observed to vibrate and produce loud mechanical noise shortly after startup. The display triggered a ""Low Water Level"" alarm, which automatically activated the water pump; however, a visual check confirmed that the reservoir already contained sufficient water. This false sensor reading caused the pump to overfill the system, forcing water into the steam delivery pipes and potentially reaching the jacket and chamber. 

To rectify this, the machine was powered down and excess water was manually drained to the appropriate level. A detailed examination of the electronics revealed that the water level sensor cable had become loose, leading to an intermittent signal failure that misled the control board. Once the sensor cable was properly tightened and secured, the false alarms ceased, the automatic filling sequence stabilized, and the autoclave returned to normal, quiet operation."
Micromotor,Marathon,M33E,"
The unit was reported as completely non-functional","Initial diagnostics confirmed the power supply from Dental Chair 2 was operational, isolating the fault to the M33E unit. Upon disassembly, a loose internal connector was identified and tightened to restore electrical continuity. Further inspection revealed that while the carbon brushes were in good condition, they had become misaligned; these were reseated and properly aligned to ensure consistent contact. 

Following these adjustments, the motor started successfully and maintained full torque during burr rotation tests, returning the device to full service."
Patient Monitor,Hwatime,H8, SpO2 not working,"
​While the SpO2 probe emitted light and functioned on other units, the H8 monitor failed to display readings. After internal connections were reset without success, a broken wire causing a discontinuity was discovered within the cable connector. This wire was resoldered to restore the signal path. Post-repair, the device was validated using a ProSim 8 analyzer, confirming accurate SpO2, ECG, and Respiratory Rate (RR) values. NIBP readings were also verified and found to be within acceptable clinical limits."
Patient Monitor,GE,B105,The device was reported to be in a non-functional state," 
 Upon initial inspection, it was noted that the unit was missing all essential accessories and the internal battery had been completely drained.
After securing the necessary accessories, the device was powered on and subjected to a comprehensive performance analysis using a ProSim 8 Vital Signs Simulator. Testing confirmed that the ECG and Respiration Rate (RR) readings are accurate. The SpO2 sensor demonstrated stable performance with a minor fluctuation of only 1 unit, while the NIBP readings showed a variance of few units, which remains within the acceptable tolerance range. The device's core functions are operating correctly."
Patient Monitor,Hwatime,H8,The device was reported to have a failure in NIBP (Non-Invasive Blood Pressure) measurement.,"During initial testing, the cycle would initiate but fail to complete, triggering ""Loose Cuff"" or ""Timed Out"" error messages.

The initial troubleshooting involved cross-verifying the cuff and tubing; however, the issue persisted even after replacing the cuff with a known functional unit. Consequently, the device was disassembled for internal inspection, where the pressure sensors were cleaned and reset. Following reassembly, the NIBP system successfully initiated and completed measurements. The monitor was then validated using a ProSim 8 Vital Signs Simulator, which confirmed that the ECG, Respiration Rate (RR), and SpO2 readings were accurate. The NIBP readings were also verified and found to be within acceptable tolerance limits.
"
Patient Monitor,Hygeia,Eva-N,The device was reported to have a failure in NIBP (Non-Invasive Blood Pressure) measurement.,"Work Performed: During initial testing, the cycle would initiate but fail to complete, triggering ""Loose Cuff"" or ""Timed Out"" error messages.

The initial troubleshooting involved cross-verifying the cuff and tubing; however, the issue persisted even after replacing the cuff with a known functional unit. Consequently, the device was disassembled for internal inspection, where the pressure sensors were cleaned and reset. Following reassembly, the NIBP system successfully initiated and completed measurements. The monitor was then validated using a ProSim 8 Vital Signs Simulator, which confirmed that the ECG, Respiration Rate (RR), and SpO2 readings were accurate. The NIBP readings were also verified and found to be within acceptable tolerance limits.
"
Slit Lamp,Optel,,The device was reported to have a complete failure of the illumination system,"Upon inspection, the main slit lamp bulb was found to be non-functional rendering the equipment unusable for clinical examinations

Inspected housing and confirmed a failed 6V 20W (64251) halogen bulb.
Replaced the defective bulb with a new unit.
Cleaned the internal optics and verified filament alignment.
Tested brightness control and beam consistency.

"
Patient  Monitor,Edan,X12,No battery backup,"The battery was found to be unable to give the backup. The battery was found to have no charge even on charging for more than 2 hours. It was replaced with a new battery pack. After that, the device was functioning on battery backup. 

All the functional testings were also performed and found to be working optimally."
Dental Chair,Confident,Mookambika,"Control panels non-responsive due to worn membrane switches.
","
 Disassembled units and replaced faulty tactile switches/membrane assemblies.

 Resealed panels against moisture and cleaning agents.

Testing: Managed full verification of all chair movements and presets.
"
C-Arm Machine,Allengers,HF49R Rev ‘O’ Mark IV,"The user reported that the screening image was not clear, showing heavy artifacts and ""static"" noise on the display. Additionally, the screen would intermittently go blank (automatically turn off), and at one point, the system was exposing X-rays, but no image was being rendered on the monitor.","
Connection Inspection: Conducted a thorough check of all data transmission and video cables. Identified a loose connection between the image processor and the display monitor.

Hardware Fix: Secured and re-seated all loose connectors and verified cable integrity to eliminate the signal noise and artifacts.


System Configuration & Parameter Calibration: Addressed the issue where the X-ray was exposing without a display output. Investigated the system software/firmware settings and found a mismatch in the imaging parameters.

Parameter Adjustment: Reset and corrected the digital imaging parameters and memory settings to ensure the captured X-ray signal is correctly processed and routed to the display monitors.

Functionality Test: Performed multiple test exposures. Verified that the ""Last Image Hold"" (LIH) function is working correctly and that the display remains stable without turning off or flickering.

Conclusion:
The signal artifacts were successfully resolved by securing the internal connections. The imaging software parameters were re-calibrated to restore the live feed to the display. The system is now fully functional."
Nebulizer,Compmist,CNB69009,Device reported as not delivering mist,"Upon inspection, the device was found to be unable to produce air even when the motor was found to be working. Upon disassembly, the piston was found to be detached due to broken armature.It was repaired and now the device is restored to its functionality."
Torniquet,Diamond,,"The user reported a malfunction in the pneumatic control system. 
","

system Diagnostics: Performed a full power-on self-test (POST) to check for electronic errors and sensor calibration. Observed the ""Low Battery"" indicator and verified power supply stability.

​Internal Inspection: Opened the chassis to inspect the pneumatic circuit, including the solenoid valves, air pumps, and pressure transducers. Checked for any kinks in the internal tubing or loose wire harnesses.

​Valve Troubleshooting: Identified a logic  hang-up in the solenoid valve control.

​System Reset & Re-calibration: Performed a hard reset of all operational parameters and timing sequences (Pr, Dl, and On settings). This cleared the software-level block affecting the valve actuation.

​Pressure Testing: Tested both Cuff 1 (Proximal) and Cuff 2 (Distal) channels. Verified that the unit reaches the set pressure (e.g., 350 mm/hg and holds it without leakage, and that the ""Deflate"" command triggers the valves immediately.

"
Torniquet,Diamond,,The device was not able to inflate both the proximal and distal cuff,"The device was thoroughly inspected. It was noticed that the timer started when the inflate buttons of both the cuffs were pressed but the motor did not work. The device was disassambled. The motors were checked and verified to be operating on the battery when it was not connected to the board. When those were connected, the motors did not function. The power connection in the board was traced and found that there was discontinuity leading to no power to the motor terminals. The trace of the cold solder was properly resoldered. After that, the motor started working. 
However, the deflation was also not taking place although the deflate button was pressed. The connectors of the solenoid  valves were misaligned. After, properly realigning the connector, the deflation also took palce when the button was pressed.

Now the device is fully functional."
Patient Monitor,Edan,X12,"The device was reported as not showing SpO2, ECG and RR signals and values.
","
The device was thoroughly inspected, and it was determined that the ECG and RR signals were not being detected due to a loosely connected leadwire at the monitor interface. Upon properly seating and securing the connection, the ECG and respiration waveforms were immediately restored. Further testing of the SpO2 probe confirmed that the accessory was non-functional and it was replaced.The monitor  is confirmed to be fully functional."
Patient Monitor,Edan,X12,"The device was reported as not showing SpO2, ECG and RR signals and values.
","The device was thoroughly inspected, and it was determined that the ECG and RR signals were not being detected due to a loosely connected leadwire at the monitor interface. Upon properly seating and securing the connection, the ECG and respiration waveforms were immediately restored. Further testing of the SpO2 probe confirmed that the accessory was non-functional and was replaced

The device was restored back to functionality."
CTG,Bionet,Twinview FC1400,"Fetal Heart Rate (FHR) was not being detected, and the printout was faint and intermittent.
","
Upon inspection, the ultrasound (USG) probe was found to be properly connected to the device and in correct contact with the patient; however, no FHR signal was being detected by the machine. Further examination of the probe connector revealed that two pins inside the connector had been pushed down, resulting in poor electrical contact and signal transmission failure. The affected pins were carefully realigned to their correct position. After this correction, the FHR signal was successfully detected and displayed on the monitor.
Additionally, the printed output was observed to be very faint and inconsistent. The recording paper was checked and found to be in good condition. The thermal print head and roller were then cleaned and properly aligned. During further inspection, it was noted that the locking mechanism securing the roller and maintaining contact between the thermal head and the paper was bent, causing insufficient pressure and poor print quality. The lock was realigned and repositioned to ensure proper contact. Following this adjustment, the print quality improved significantly.

FHR detection and printing functions were restored, and the CTG machine was confirmed to be operating normally."
Autoclave ,Recco,,"Unusual noise and excessive vibration during the initial operation phase.
","
Upon inspection, the device was observed to vibrate and produce loud mechanical noise shortly after startup. The display triggered a ""Low Water Level"" alarm, which automatically activated the water pump; however, a visual check confirmed that the reservoir already contained sufficient water. This false sensor reading caused the pump to overfill the system, forcing water into the steam delivery pipes and potentially reaching the jacket and chamber. 

To rectify this, the machine was powered down and excess water was manually drained to the appropriate level. A detailed examination of the electronics revealed that the water level sensor cable had become loose, leading to an intermittent signal failure that misled the control board. Once the sensor cable was properly tightened and secured, the false alarms ceased, the automatic filling sequence stabilized, and the autoclave returned to normal, quiet operation."
Electrosurgical Unit,Covidien,Force FX,the bipolar function of the Covidien Force FX was completely non-functional .,"
Upon physical inspection and diagnostic testing, the device was assesed to determine why the foot switch was failing to trigger the bipolar function. It was verified as the primary source of the problem, as the device itself passed self-test protocols. Detailed inspection of the foot switch cable assembly revealed that the live wire and the neutral wire on the connector side had become detached from their solder points. To rectify this, both wires were properly resoldered to their respective terminals to ensure a stable electrical connection. Additionally, the internal limit switch was checked for mechanical wear and electrical continuity, where it was verified to be fully functional.

 Following the repair, the foot switch was retested with the unit, confirming that the bipolar functionality has been fully restored and is now safe for clinical use."
Laparoscopic Videoprocessor,Secure,,"The connector for the camera head was loosely fitted.
","
Upon inspection, it was found that the connector for the camera head was loosely fitted to the machine, causing difficulty in connecting and disconnecting the camera and resulting in intermittent image display. The connector was tightened from inside the machine, which resolved the display issue.


The machine was tested and verified to be functioning properly and has been restored to full operational condition."
Anesthesia Machine,GE,9100c NXT,The unit was flagged for consistently high Peak Inspiratory Pressure and a failure to complete the monthly O2 sensor calibration.," Upon inspection, the ventilator was delivering a 400 mL tidal volume with a PEEP of 5–6 cmH_2O. Clinical observation showed an elevated Ppeak exceeding 28 cmH2O, while the plateau pressure  remained stable at 22–23 cmH2O. This pressure gradient indicated that the issue was rooted in increased airway resistance rather than a change in patient lung compliance. Further investigation revealed that the soda lime was expired, leading to excessive moisture buildup in the breathing circuit that obstructed airflow. Simultaneously, the O2 sensor calibration failure was traced to an improperly seated sensor and connector. To rectify these issues, the expired soda lime was replaced, the flow sensors were dried, and the O2 sensor was securely reconnected. Following these actions, the O2 calibration passed successfully and Ppeak returned to normal parameters, confirming the machine's pneumatic and electronic systems are fully functional.

"
Sphygmomanometer,Accumed,,"The device was reported non-functional. 
","
Preliminary testing confirmed that while the pneumatic system (cuff and bulb) maintained integrity, the manometer exhibited mechanical failure; the indicator needle remained stationary during inflation.

The defective manometer was repaired. Following that, the device underwent a zero-point calibration and a static leak test to ensure accuracy and pneumatic stability. The needle movement is now good and responsive across the full pressure range.

"
Sphygmomanometer,Microlife,,Device reported as non-functional,"
Upon Inspection, the device was found to be unable to measure accurately due to a leakage through a air release value. The spring was misaligned and it was properly aligned after which the device was brought back to functionality."
Patient Monitor,Edan,X12,Failure to provide accurate EtCO2 readings,"Upon initial inspection, the EtCO2 readings were found to be critically low and inconsistent. The ET tube was first verified to be unobstructed to rule out patient-side clinical factors. Technical troubleshooting shifted to the EtCO2 sensor, where significant moisture buildup was discovered within the sampling assembly. After a thorough cleaning of the sensor and ports,the signal sensitivity increased to the required level. Following the repair the waveform and capnography values returned to accurate parameters. The device was tested for accuracy and is now fully functional.
"
Nebulizer,Elmaslar,N/A,"The device was reported as non-functional (no mist formation).
","Upon inspection, it was observed that the nebulizer was unable to generate mist due to a clogged air filter. The filter was thoroughly cleaned. Further inspection revealed that the motor speed was reduced due to dirt accumulation. The motor was cleaned and properly lubricated.
After performing the above corrective actions, the nebulizer was tested and found to be functioning normally with proper mist formation.
"
CTG,Bionet,FC1400,Intermittent FHR,"Upon inspection, the ultrasound probe was found to be improperly placed in the abdomed causing the problem. After it was properly placed the problem was resolved."
Weighing Machine,N/A,,Device reporting as not powering on,"
Upon initial inspection, the device was confirmed to be completely unresponsive. Testing of the power adapter revealed a lack of output voltage, which was cross-verified as the primary cause of the failure. The adapter was disassembled, revealing that the internal output wires had become disconnected; these were properly re-soldered to restore power flow. However, during subsequent testing, the device exhibited an intermittent display. A further teardown of the balance revealed that the power connector terminals on the main PCB had developed cold solder joints, leading to a partial loss of contact. These terminals were thoroughly re-soldered to ensure a stable connection. Following these repairs, the device was reassembled and tested for stability.

"
Torniquet,Diamond,,Device reported as non-functional; failure to inflate and deflate.,"The device was thoroughly inspected, where it was observed that while the timer initiated upon pressing the inflation buttons for both cuffs, the pump motor failed to engage. Upon disassembly, the motors were tested independently and verified to be operational when powered directly by the battery; however, they remained unresponsive when connected to the control board. Systematic tracing of the power circuitry revealed a discontinuity caused by a cold solder joint, which prevented voltage from reaching the motor terminals. Once the trace was properly re-soldered, motor functionality was restored. Further testing indicated that the deflation cycle was also non-functional due to misaligned solenoid valve connectors. After realigning and securing these connectors, the deflation mechanism functioned correctly.
Status: The device has passed all functional tests and is now fully functional and ready for clinical use."
Maternity Bed,N/A,,Device reported as not responding to remote," The device was inspected and found to be responsive to all buttons except the down button. The relay was triggered when the button was pressed, but the downward movement did not occur. The cable connector was found to be full of dust and did not fit properly. It was properly cleaned, and the connection was reset. After this, the downward movement resumed.

"
Syringe Pump,Kellymed,KL-605T,​The ICU reported that  Kellymed KL-605T syringe pumps failed to provide battery backup,"Upon inspection, the Kellymed KL-605T syringe pump was found to have failed battery backup due to the internal battery packs being fully depleted and unable to hold a charge. To rectify this, the faulty battery pack was replaced with new unit in all three devices  followed by charging and performance verification tests to ensure a seamless transition from AC to DC power, returning the equipment to full operational status for the ICU.

"
Syringe Pump,Kellymed,KL-605T,Device not working on battery backup,"Upon inspection, the Kellymed KL-605T syringe pump was found to have failed battery backup due to the internal battery packs being fully depleted and unable to hold a charge. To rectify this, the faulty battery pack was replaced with new unit in all three devices  followed by charging and performance verification tests to ensure a seamless transition from AC to DC power, returning the equipment to full operational status for the ICU.

"
Syringe Pump,Kellymed,KL-605T,Device not working on battery backup.,"Upon inspection, the Kellymed KL-605T syringe pump was found to have failed battery backup due to the internal battery packs being fully depleted and unable to hold a charge. To rectify this, the faulty battery pack was replaced with new unit in all three devices  followed by charging and performance verification tests to ensure a seamless transition from AC to DC power, returning the equipment to full operational status for the ICU.

"
X-Ray Machine,Aerorad,, No handswitch,"The  system was reported to be operating without a functional handswitch for an extended period following physical damage to the original component.  A new compatible handswitch was installed into the system. Post-installation testing confirmed that the exposure control now operates correctly through the handswitch, restoring standard safety protocols and operational flexibility for the Radiology staff."
Anesthesia Machine,GE,9100c NXT,High Ppeak,"The GE 9100C NXT anesthesia machine was inspected following reports of high Peak Inspiratory Pressure (Ppeak). Technical assessment revealed a Ppeak exceeding 28 cmH_2O despite a stable Tidal Volume of 400 mL and PEEP of 5–6 cmH2O. Because the Plateau Pressure (Pplat) remained stable at 22–23 cmH2O, lung compliance was determined to be normal, isolating the issue to increased airway resistance within the breathing circuit. Excessive condensation was discovered during the circuit inspection; consequently, the patient breathing circuit was replaced with a new assembly. Following replacement, Ppeak values stabilized within normal operational limits, and the device has been returned to full functional status."
CTG Machine,Bionet,Twinview FC 1400," No FHR and Toco signals.
","Upon technical assessment of the Bionet Twinview FC1400, both Fetal Heart Rate (FHR) and Uterine Activity (TOCO) detection failures were identified. Initial inspection confirmed proper probe placement and patient contact, yet signal transmission remained absent. Detailed examination of the Ultrasound (USG) probe connector revealed poor electrical contact; the interface was cleaned and securely re-seated, successfully restoring the FHR signal. Simultaneously, the TOCO probe was found to have dislocated connector pins. These pins were carefully straightened and realigned, allowing the device to properly recognize the transducer. Following these repairs, both FHR and TOCO parameters are consistently detected and displayed, and the equipment has been returned to full working order."
USG Machine,Sonoscape,E2,,"Technical diagnostics confirmed that the thermal printer was not receiving an input signal when the print command was initiated. Although the video cable connection at the printer terminal was initially reset, signal transmission remained absent. Further troubleshooting identified a loose or improperly seated video cable interface at the USG machine output terminal. After the connection was properly re-established and secured at the main unit, the communication link was restored, and the system began printing correctly. 

The device has been verified and returned to full operational status for the OPD."
Bronchoscope  Set,Hugemed,,New installation,A new portable bronchoscope set was installed along with the visualscopy software.
